Date,SO2,NOx,RSPM,SPM,AQI,Location,Carbon_Footprint,Zone,PM2.5,Cigarettes_per_Day
26-04-2014,15,53,179,221,153,Kharadi,448.8,Red Zone,89.50,4.07
26-04-2014,19,60,161,366,141,Koregaon Park,599,Red Zone,80.50,3.66
27-04-2014,20,16,140,221,127,Magarpatta,390.3,Red Zone,70.00,3.18
29-04-2014,26,28,102,261,101,Hinjewadi,411.5,Red Zone,51.00,2.32
29-04-2014,20,20,150,221,133,Hinjewadi,402.1,Red Zone,75.00,3.41
30-04-2014,26,42,72,234,72,Magarpatta,364.6,Red Zone,36.00,1.64
30-04-2014,15,17,107,221,105,Magarpatta,358.8,Red Zone,53.50,2.43
01-05-2014,18,28,33,249,35,Magarpatta,332.2,Red Zone,16.50,0.75
02-05-2014,19,24,20,50,30,Kharadi,99.3,Green Zone,10.00,0.45
02-05-2014,20,49,48,221,48,Hinjewadi,330.6,Red Zone,24.00,1.09
03-05-2014,20,9,75,221,75,Viman Nagar,326.9,Red Zone,37.50,1.70
03-05-2014,21,36,28,90,45,Kharadi,159.9,Green Zone,14.00,0.64
04-05-2014,12,43,13,52,54,Viman Nagar,105,Green Zone,6.50,0.30
04-05-2014,8,49,49,221,49,Koregaon Park,325.5,Red Zone,24.50,1.11
05-05-2014,12,24,40,105,40,Kharadi,174.3,Green Zone,20.00,0.91
05-05-2014,10,49,83,221,83,Koregaon Park,357.1,Red Zone,41.50,1.89
06-05-2014,22,75,101,221,101,Magarpatta,397.5,Red Zone,50.50,2.30
07-05-2014,23,46,134,231,123,Kharadi,418.4,Red Zone,67.00,3.05
08-05-2014,19,69,164,221,143,Viman Nagar,448.5,Red Zone,82.00,3.73
08-05-2014,21,84,122,313,115,Viman Nagar,523.4,Red Zone,61.00,2.77
09-05-2014,22,46,115,278,110,Viman Nagar,452.5,Red Zone,57.50,2.61
09-05-2014,25,67,164,221,143,Magarpatta,450.1,Red Zone,82.00,3.73
10-05-2014,23,65,182,221,155,Hinjewadi,463.9,Red Zone,91.00,4.14
10-05-2014,17,69,184,532,156,Viman Nagar,807.6,Red Zone,92.00,4.18
11-05-2014,13,48,125,257,117,Magarpatta,435.3,Red Zone,62.50,2.84
11-05-2014,23,68,159,221,139,Viman Nagar,445.3,Red Zone,79.50,3.61
12-05-2014,16,41,161,221,141,Hinjewadi,424.7,Red Zone,80.50,3.66
12-05-2014,35,43,174,393,149,Magarpatta,636.5,Red Zone,87.00,3.95
13-05-2014,16,40,168,221,145,Kharadi,430.3,Red Zone,84.00,3.82
14-05-2014,22,68,190,221,160,Koregaon Park,472.7,Red Zone,95.00,4.32
14-05-2014,20,42,200,594,167,Viman Nagar,872.8,Red Zone,100.00,4.55
15-05-2014,15,44,144,290,129,Koregaon Park,486.9,Red Zone,72.00,3.27
15-05-2014,20,61,194,221,163,Magarpatta,470.4,Red Zone,97.00,4.41
15-05-2014,15,45,115,305,110,Magarpatta,478,Red Zone,57.50,2.61
16-05-2014,20,61,191,221,161,Viman Nagar,467.7,Red Zone,95.50,4.34
16-05-2014,23,33,196,395,164,Koregaon Park,645.5,Red Zone,98.00,4.45
17-05-2014,21,67,179,221,153,Viman Nagar,461.6,Red Zone,89.50,4.07
17-05-2014,20,64,188,614,159,Koregaon Park,899.4,Red Zone,94.00,4.27
18-05-2014,21,71,195,221,163,Magarpatta,478.8,Red Zone,97.50,4.43
18-05-2014,14,41,141,366,127,Magarpatta,565.2,Red Zone,70.50,3.20
19-05-2014,23,65,212,221,175,Baner,490.9,Red Zone,106.00,4.82
19-05-2014,26,37,198,417,165,Hinjewadi,675.8,Red Zone,99.00,4.50
20-05-2014,25,35,168,221,145,Magarpatta,431.3,Red Zone,84.00,3.82
21-05-2014,11,48,170,418,147,Magarpatta,651.9,Red Zone,85.00,3.86
21-05-2014,26,27,167,221,145,Kharadi,425.3,Red Zone,83.50,3.80
22-05-2014,24,40,162,221,141,Magarpatta,428.9,Red Zone,81.00,3.68
22-05-2014,11,53,133,338,122,Magarpatta,534.1,Red Zone,66.50,3.02
23-05-2014,22,40,168,425,145,Magarpatta,657.7,Red Zone,84.00,3.82
24-05-2014,17,63,148,387,132,Viman Nagar,611.5,Red Zone,74.00,3.36
24-05-2014,20,30,174,221,149,Koregaon Park,430.7,Red Zone,87.00,3.95
25-05-2014,20,30,200,221,167,Kharadi,454.1,Red Zone,100.00,4.55
25-05-2014,18,48,135,351,123,Viman Nagar,550.2,Red Zone,67.50,3.07
26-05-2014,23,47,155,330,137,Magarpatta,546.9,Red Zone,77.50,3.52
27-05-2014,30,48,205,415,170,Hinjewadi,689.6,Red Zone,102.50,4.66
27-05-2014,20,69,169,418,146,Magarpatta,670.2,Red Zone,84.50,3.84
27-05-2014,18,51,134,238,123,Viman Nagar,427.1,Red Zone,67.00,3.05
27-05-2014,15,48,156,221,137,Kharadi,424.6,Red Zone,78.00,3.55
28-05-2014,16,34,115,389,110,Viman Nagar,563.2,Red Zone,57.50,2.61
28-05-2014,20,20,133,221,122,Koregaon Park,386.8,Red Zone,66.50,3.02
29-05-2014,15,39,153,466,135,Baner,685.1,Red Zone,76.50,3.48
30-05-2014,18,56,91,341,91,Viman Nagar,505.2,Red Zone,45.50,2.07
30-05-2014,19,19,150,221,133,Viman Nagar,400.9,Red Zone,75.00,3.41
31-05-2014,33,30,61,210,61,Baner,323.4,Red Zone,30.50,1.39
31-05-2014,19,14,110,221,107,Kharadi,361.4,Red Zone,55.00,2.50
01-06-2014,18,22,53,203,53,Viman Nagar,295.4,Yellow Zone,26.50,1.20
01-06-2014,16,19,95,221,95,Hinjewadi,349.9,Red Zone,47.50,2.16
02-06-2014,20,33,29,146,41,Hinjewadi,219.8,Yellow Zone,14.50,0.66
